parcel,mericarp,treatment,length,width,depth,spine_tip_distance,longest_spine,lower_spine,lower_length,spine_position,hardness_front,hardness_up,hardness_down,hardness_back
1,1,small,5.54,2.6,4.21,11.64,6.97,1,2.8,40,40,41,45,54
1,2,small,5.35,2.53,4.46,10.14,4.96,1,1.86,40,28,36,59,48
1,3,small,6.65,2.4,4.61,11.29,6.02,1,1.72,50,42,34,42,40
1,4,small,5.82,3.24,4.59,9.55,5.13,1,2.38,40,44,40,45,52
1,5,small,4.89,1.95,3.61,8.35,4.95,1,1.59,50,53,50,50,55
1,6,small,4.57,2.21,3.83,8.7,5.76,1,2.38,40,30,36,49,55
1,7,small,6.37,2.44,3.79,5.74,2.12,1,1.46,40,41,52,58,60
1,8,small,4.61,2.39,3.53,5.7,3.81,0,,40,55,39,62,47
1,9,small,4.41,3.1,3.82,9.03,5.06,1,2.34,40,52,53,70,70
1,10,small,5.39,2.49,4.77,14.16,6.67,1,2.2,40,54,46,62,44
1,11,small,5.48,3.12,4.39,9.03,5.58,1,2.31,40,49,56,72,61
1,12,small,5.61,2.91,4.39,12.91,7.25,1,2.58,40,20,20,20,39
1,13,small,4.45,2.25,3.53,7.05,4.51,1,1.42,40,36,76,58,58
1,14,small,5.62,2.36,3.98,10.19,5.63,1,1.19,40,32,64,60,48
1,15,small,6.27,2.58,4.29,11.88,5.88,1,1.19,50,53,80,91,46
1,16,small,5.38,2.49,4.98,5.99,4.6,0,,40,50,54,75,57
1,17,small,6.48,2.88,4.48,10.93,5.41,1,2.2,40,65,65,65,67
1,18,small,7.23,3.06,4.4,11.79,6.31,1,2.42,50,33,63,46,63
1,19,small,4.37,2.38,3.42,6.8,4.17,1,2.5,50,39,68,52,37
1,20,small,6.1,3,4.4,10.45,5.46,1,2.25,40,42,43,42,61
1,21,small,5.85,2.61,4.49,10.57,5.39,1,2.39,40,45,65,52,67
1,22,small,5.8,3.79,5.27,12.98,6.92,0,,50,59,77,92,52
1,23,small,5.12,2.22,3.6,10.54,5.04,1,2.19,40,25,62,52,40
1,24,small,6.96,3.26,4.56,11.19,6.27,1,2.83,40,33,66,57,64
1,25,small,4.49,2.56,3.55,7.05,3.39,1,1.62,40,44,55,45,56
2,1,large,10,4.66,6.41,15.09,7.27,1,2.43,50,60,60,52,60
2,2,large,9.87,4.47,5.94,13.63,7.44,1,3.5,50,65,48,36,37
2,3,large,10.57,5.24,6.9,14.31,6.52,1,3.47,50,64,58,62,53
2,4,large,9.73,4.46,3.22,14.8,7.15,1,2.9,50,66,73,56,55
2,5,large,10.12,4.89,6.83,14.99,6.6,1,2.83,50,68,58,50,59
2,6,large,9.48,3.95,5.87,14.2,6.71,1,3.98,50,49,80,69,54
2,7,large,8.41,4.4,6.86,17.58,7.85,1,4.49,40,48,70,76,64
2,8,large,10.45,5.04,6.96,15.52,6.41,1,3.79,50,55,64,61,53
2,9,large,9.25,4.58,6.74,16.06,7.03,1,3.62,50,62,69,70,61
2,10,large,7.71,4.56,6.35,17.27,7.14,1,2.8,40,46,53,60,67
2,11,large,10.48,3.96,6.1,14.22,5.74,1,1.82,50,68,66,58,64
2,12,large,10.26,3.77,5.77,14.17,6.66,1,2.78,50,66,72,61,43
2,13,large,9.64,4.7,6.78,15.83,6.56,1,3.06,50,58,77,50,64
2,14,large,9.89,5,6.5,13.66,6.13,1,1.1,50,54,67,73,62
2,15,large,8.43,4.02,6.18,18.31,9,1,5.08,50,49,47,76,61
2,16,large,9.62,4.81,6.66,13.09,6.33,1,2.69,50,72,61,54,51
2,17,large,10.64,5.04,7.13,18.19,8.57,1,3.53,50,57,65,79,51
2,18,large,9.83,5.65,6.31,15.47,7.55,1,2.76,50,66,62,69,60
2,19,large,9.3,3.37,6.31,13.81,6.84,1,2.51,50,61,69,67,60
2,20,large,10.35,6.09,6.69,13.21,5.79,1,2.54,50,56,49,67,66
2,21,large,9.11,5.02,6.81,17.27,7.2,1,2.75,50,65,59,67,52
2,22,large,8.81,4.75,7.54,19.63,8.07,1,3.25,50,69,70,54,63
2,23,large,9.39,5.08,7.07,14.64,5.48,1,3,40,58,65,71,56
2,24,large,11.06,5.87,7.16,14.61,5.48,1,2.57,50,55,53,54,50
2,25,large,10.61,5.54,7.2,15.13,7.24,1,2.64,50,72,52,59,58
3,1,two spines,9.54,5.82,7.07,12.54,5.53,0,,40,55,71,72,65
3,2,two spines,6.55,4.06,5.06,11.25,7.09,0,,40,70,62,88,50
3,3,two spines,6.25,3.48,5.09,12.92,6.87,0,,40,50,62,90,40
3,4,two spines,7.3,5.02,5.65,11.33,6.56,0,,40,65,70,83,70
3,5,two spines,6.06,4.02,5.28,10.66,6.38,0,,40,77,72,85,70
3,6,two spines,4.98,3.18,4.05,12.07,5.77,0,,40,71,53,76,66
3,7,two spines,5.81,3.23,5,11.53,5.85,0,,40,77,65,66,61
3,8,two spines,7.73,4.95,6.75,14.46,6.1,0,,40,55,73,83,66
3,9,two spines,8.86,3.51,5.81,13.79,5.77,1,2,50,55,77,72,64
3,10,two spines,5.75,2.86,4.03,11.47,5.35,0,,40,65,73,79,68
3,11,two spines,6.52,4.14,5.26,8.98,5.7,0,,40,52,63,81,72
3,12,two spines,6.01,3.4,5.12,11.48,6.4,0,,50,69,66,83,73
3,13,two spines,7.13,4.72,5.92,12.35,6.35,0,,50,65,65,75,73
3,14,two spines,4.81,2.73,3.92,8.1,4.75,0,,40,80,60,79,63
3,15,two spines,5.9,3.55,5.01,11.07,5.65,0,,40,65,65,91,80
3,16,two spines,5.5,4.02,5.18,11.19,6.1,0,,40,55,63,75,66
3,17,two spines,6.7,4.78,5.79,12.16,6.28,0,,40,70,79,84,74
3,18,two spines,5.13,3.2,4.31,8.17,4.96,0,,50,52,53,79,67
3,19,two spines,6.29,4.35,5.28,8.95,4.83,0,,40,64,69,85,76
3,20,two spines,8.34,5.34,5.93,10.7,5.4,0,,50,63,69,82,81
3,21,two spines,5.86,2.82,4.48,7.11,4.5,0,,40,41,59,91,50
3,22,two spines,7.24,5.18,6.02,12.55,6.45,0,,40,69,88,93,68
3,23,two spines,9.06,4.67,6.3,14.68,7.26,0,,40,59,79,89,59
3,24,two spines,6.35,2.59,4.31,7.14,3.67,0,,40,59,60,78,74
3,25,two spines,7.49,4,5.48,14.41,7.26,0,,40,45,65,75,69
4,1,small,5.79,2.67,4.26,10.37,5.14,1,2.13,40,50,65,54,54
4,2,small,4.68,2.12,3.6,10.27,5.35,1,1.86,40,45,59,31,28
4,3,small,4.93,2.06,3.45,7.3,3.42,0,,40,26,52,30,41
4,4,small,5.98,2.6,3.82,9.06,4.51,1,2.22,50,27,56,64,35
4,5,small,4.49,2.43,3.2,10.49,5.94,1,1.24,40,44,56,48,30
4,6,small,5.3,1.83,3.8,8.03,5.26,1,2.74,40,30,58,65,56
4,7,small,4.87,2.74,3.52,9.59,5.83,1,1.58,40,42,43,47,40
4,8,small,4.61,2.03,3.72,5.99,4.21,1,1.35,40,24,49,49,53
4,9,small,3.97,2.56,3.64,9.58,5,1,1.02,40,52,50,46,50
4,10,small,5.84,2.38,3.63,10.74,4.86,1,2.88,50,38,39,35,36
4,11,small,6.12,2.5,3.98,9.09,5.31,1,2.64,50,42,63,69,43
4,12,small,5.08,2.56,3.68,9.97,5.27,1,2.35,40,45,60,45,44
4,13,small,5.92,3.24,4.81,10.72,6.38,1,3.75,40,43,75,95,60
4,14,small,4.06,2.52,3.07,7.93,4.8,1,2.64,40,40,71,61,27
4,15,small,5.4,2.59,3.88,8.07,4.53,1,2.66,40,55,34,61,59
4,16,small,5.56,2.16,3.81,10.44,1.91,1,6.04,40,35,53,45,57
4,17,small,5.42,2.98,4.14,10.65,5.03,1,3.4,40,41,51,41,66
4,18,small,4.59,2.84,3.63,10.51,6.43,1,1.75,40,35,33,44,41
4,19,small,5.38,2.51,3.43,8.27,5.33,1,1.73,40,26,50,35,35
4,20,small,5.24,2.17,3.53,8.33,5.17,1,2.71,40,30,46,40,25
4,21,small,6.23,3.15,4.22,7.84,5.49,1,3.15,40,53,55,67,47
4,22,small,4.17,1.87,3.72,7,4.31,1,1.92,40,73,64,59,55
4,23,small,5.36,2.14,3.72,6.7,1.82,1,6.73,50,40,55,57,48
4,24,small,4.88,2.46,4.14,10.16,5.05,1,1.54,50,38,61,64,63
4,25,small,4.14,2.43,3.38,8.44,5.63,0,,40,45,50,65,59
5,1,large,9.87,4.8,6.71,16.72,7.38,1,2.95,50,58,55,36,44
5,2,large,9.38,4.37,6.32,15.36,7.84,1,3,50,35,58,61,63
5,3,large,7.28,4.7,6.43,14.98,8.17,0,,40,59,61,60,65
5,4,large,10.34,3.7,5.71,12.68,6.19,1,2.99,50,63,53,56,46
5,5,large,9.52,4.93,6.75,12.01,5.45,1,2.34,50,73,57,63,53
5,6,large,8.45,4.41,6.36,13.46,5.77,1,3.14,40,45,81,85,66
